seed,variant,step,train_loss,cum_flops,compression
7,quant8,9,9.522006034851074,2670408.0,4.0
7,celo,10,10.037392616271973,11868480.0,1.0
7,prune_50,10,10.014752388000488,5934240.0,2.0
7,prune_75,10,10.058382034301758,2967120.0,4.0
7,prune_99,10,10.59628677368164,11868.48000000001,999.9999999999991
7,quant8,10,10.12006664276123,2967120.0,4.0
7,celo,11,9.674301147460938,13055328.0,1.0
7,prune_50,11,9.412694931030273,6527664.0,2.0
7,prune_75,11,9.802095413208008,3263832.0,4.0
7,prune_99,11,10.837028503417969,13055.328000000012,999.9999999999991
7,quant8,11,9.552921295166016,3263832.0,4.0
7,celo,12,10.851391792297363,14242176.0,1.0
7,prune_50,12,10.520051002502441,7121088.0,2.0
7,prune_75,12,10.711127281188965,3560544.0,4.0
7,prune_99,12,11.00528335571289,14242.176000000014,999.9999999999991
7,quant8,12,10.591370582580566,3560544.0,4.0
7,celo,13,9.22953987121582,15429024.0,1.0
7,prune_50,13,8.982730865478516,7714512.0,2.0
7,prune_75,13,9.322750091552734,3857256.0,4.0
7,prune_99,13,10.844242095947266,15429.024000000014,999.9999999999991
7,quant8,13,9.0860595703125,3857256.0,4.0
7,celo,14,9.439431190490723,16615872.0,1.0
7,prune_50,14,9.09286117553711,8307936.0,2.0
7,prune_75,14,9.631434440612793,4153968.0,4.0
7,prune_99,14,10.714954376220703,16615.872000000014,999.9999999999991
7,quant8,14,9.460957527160645,4153968.0,4.0
7,celo,15,10.451030731201172,17802720.0,1.0
7,prune_50,15,10.334270477294922,8901360.0,2.0
7,prune_75,15,10.404085159301758,4450680.0,4.0
7,prune_99,15,10.601921081542969,17802.720000000016,999.9999999999991
7,quant8,15,10.447641372680664,4450680.0,4.0
7,celo,16,10.044512748718262,18989568.0,1.0
7,prune_50,16,10.113811492919922,9494784.0,2.0
7,prune_75,16,10.171542167663574,4747392.0,4.0
7,prune_99,16,10.657421112060547,18989.568000000017,999.9999999999991
7,quant8,16,10.149290084838867,4747392.0,4.0
7,celo,17,10.229072570800781,20176416.0,1.0
7,prune_50,17,10.101054191589355,10088208.0,2.0
7,prune_75,17,10.180253982543945,5044104.0,4.0
7,prune_99,17,10.577531814575195,20176.41600000002,999.9999999999991
7,quant8,17,10.398711204528809,5044104.0,4.0
7,celo,18,9.638607025146484,21363264.0,1.0
7,prune_50,18,9.290018081665039,10681632.0,2.0
7,prune_75,18,9.701875686645508,5340816.0,4.0
7,prune_99,18,10.73573112487793,21363.26400000002,999.9999999999991
7,quant8,18,9.673094749450684,5340816.0,4.0
7,celo,19,9.651849746704102,22550112.0,1.0
7,prune_50,19,9.289952278137207,11275056.0,2.0
7,prune_75,19,9.955310821533203,5637528.0,4.0
7,prune_99,19,10.67941665649414,22550.11200000002,999.9999999999991
7,quant8,19,9.714078903198242,5637528.0,4.0
7,celo,20,9.333274841308594,23736960.0,1.0
7,prune_50,20,8.903728485107422,11868480.0,2.0
7,prune_75,20,9.229180335998535,5934240.0,4.0
7,prune_99,20,10.890094757080078,23736.96000000002,999.9999999999991
7,quant8,20,9.499561309814453,5934240.0,4.0
7,celo,21,9.375103950500488,24923808.0,1.0
7,prune_50,21,9.033048629760742,12461904.0,2.0
7,prune_75,21,9.642611503601074,6230952.0,4.0
7,prune_99,21,10.57398796081543,24923.808000000023,999.9999999999991
7,quant8,21,9.453666687011719,6230952.0,4.0
7,celo,22,8.861282348632812,26110656.0,1.0
7,prune_50,22,8.691922187805176,13055328.0,2.0
7,prune_75,22,9.293412208557129,6527664.0,4.0
7,prune_99,22,10.745396614074707,26110.656000000025,999.9999999999991
7,quant8,22,9.11933422088623,6527664.0,4.0
