dataset,seed,variant,step,train_loss,cum_flops,compression
TransformerLM_LM1B_MultiRuntime_0,7,quant8,14,9.373506546020508,4153968.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,15,9.407464981079102,17802720.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,15,10.211799621582031,8901360.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,15,10.309732437133789,5340816.000000001,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,15,10.937444686889648,3560543.999999999,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,15,10.814898490905762,2670408.0000000005,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,15,10.819995880126953,1780271.9999999995,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,15,10.872634887695312,890136.0000000008,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,15,9.434860229492188,4450680.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,16,9.594207763671875,18989568.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,16,10.587432861328125,9494784.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,16,10.496021270751953,5696870.400000001,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,16,10.974220275878906,3797913.599999999,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,16,11.045143127441406,2848435.2000000007,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,16,11.060044288635254,1898956.7999999996,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,16,11.021864891052246,949478.4000000008,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,16,9.769208908081055,4747392.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,17,8.763249397277832,20176416.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,17,10.020751953125,10088208.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,17,10.115541458129883,6052924.800000002,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,17,10.732683181762695,4035283.1999999993,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,17,10.794668197631836,3026462.400000001,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,17,10.954349517822266,2017641.5999999996,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,17,10.814960479736328,1008820.8000000009,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,17,8.989192962646484,5044104.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,18,8.351158142089844,21363264.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,18,9.340045928955078,10681632.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,18,9.807485580444336,6408979.200000001,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,18,10.39019775390625,4272652.799999999,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,18,10.518383026123047,3204489.6000000006,6.666666666666665
