seed,variant,step,train_loss,cum_flops,compression
7,celo,8,10.280653953552246,9494784.0,1.0
7,prune_50,8,10.359373092651367,4747392.0,2.0
7,prune_75,8,10.317054748535156,2373696.0,4.0
7,prune_90,8,10.26266860961914,949478.3999999998,10.000000000000002
7,quant8,8,10.336688995361328,2373696.0,4.0
7,celo,9,10.036138534545898,10681632.0,1.0
7,prune_50,9,9.81647777557373,5340816.0,2.0
7,prune_75,9,9.889290809631348,2670408.0,4.0
7,prune_90,9,9.805062294006348,1068163.1999999997,10.000000000000002
7,quant8,9,9.816987991333008,2670408.0,4.0
7,celo,10,9.201461791992188,11868480.0,1.0
7,prune_50,10,9.064746856689453,5934240.0,2.0
7,prune_75,10,9.016180992126465,2967120.0,4.0
7,prune_90,10,9.256909370422363,1186847.9999999998,10.000000000000002
7,quant8,10,8.979801177978516,2967120.0,4.0
7,celo,11,9.53335952758789,13055328.0,1.0
7,prune_50,11,9.57477855682373,6527664.0,2.0
7,prune_75,11,9.735026359558105,3263832.0,4.0
7,prune_90,11,9.280131340026855,1305532.7999999998,10.000000000000002
7,quant8,11,9.296799659729004,3263832.0,4.0
7,celo,12,8.823041915893555,14242176.0,1.0
7,prune_50,12,8.831028938293457,7121088.0,2.0
7,prune_75,12,8.699813842773438,3560544.0,4.0
7,prune_90,12,8.6967191696167,1424217.5999999996,10.000000000000002
7,quant8,12,8.702585220336914,3560544.0,4.0
7,celo,13,9.077659606933594,15429024.0,1.0
7,prune_50,13,9.214773178100586,7714512.0,2.0
7,prune_75,13,9.057461738586426,3857256.0,4.0
7,prune_90,13,9.07819652557373,1542902.3999999997,10.000000000000002
7,quant8,13,8.950511932373047,3857256.0,4.0
7,celo,14,10.058647155761719,16615872.0,1.0
7,prune_50,14,9.981731414794922,8307936.0,2.0
7,prune_75,14,9.845422744750977,4153968.0,4.0
7,prune_90,14,9.856473922729492,1661587.1999999997,10.000000000000002
7,quant8,14,9.924148559570312,4153968.0,4.0
7,celo,15,9.904129028320312,17802720.0,1.0
7,prune_50,15,9.950860023498535,8901360.0,2.0
7,prune_75,15,9.630207061767578,4450680.0,4.0
7,prune_90,15,9.589018821716309,1780271.9999999995,10.000000000000002
7,quant8,15,9.328680038452148,4450680.0,4.0
7,celo,16,9.383861541748047,18989568.0,1.0
7,prune_50,16,9.293904304504395,9494784.0,2.0
7,prune_75,16,9.462493896484375,4747392.0,4.0
7,prune_90,16,9.34986686706543,1898956.7999999996,10.000000000000002
7,quant8,16,9.121917724609375,4747392.0,4.0
7,celo,17,9.25950813293457,20176416.0,1.0
7,prune_50,17,9.248100280761719,10088208.0,2.0
7,prune_75,17,9.373762130737305,5044104.0,4.0
7,prune_90,17,9.236115455627441,2017641.5999999996,10.000000000000002
7,quant8,17,9.120140075683594,5044104.0,4.0
7,celo,18,8.070138931274414,21363264.0,1.0
7,prune_50,18,8.056743621826172,10681632.0,2.0
7,prune_75,18,8.057093620300293,5340816.0,4.0
7,prune_90,18,7.85506534576416,2136326.3999999994,10.000000000000002
7,quant8,18,7.935005187988281,5340816.0,4.0
7,celo,19,8.122212409973145,22550112.0,1.0
7,prune_50,19,7.915502548217773,11275056.0,2.0
7,prune_75,19,7.831038951873779,5637528.0,4.0
7,prune_90,19,8.000738143920898,2255011.1999999997,10.000000000000002
7,quant8,19,7.924457550048828,5637528.0,4.0
7,celo,20,9.046096801757812,23736960.0,1.0
7,prune_50,20,9.050657272338867,11868480.0,2.0
7,prune_75,20,8.883633613586426,5934240.0,4.0
7,prune_90,20,9.024578094482422,2373695.9999999995,10.000000000000002
7,quant8,20,9.06563949584961,5934240.0,4.0
7,celo,21,9.270858764648438,24923808.0,1.0
7,prune_50,21,9.231978416442871,12461904.0,2.0
7,prune_75,21,8.9520263671875,6230952.0,4.0
7,prune_90,21,9.039613723754883,2492380.7999999993,10.000000000000002
7,quant8,21,9.075572967529297,6230952.0,4.0
7,celo,22,8.198486328125,26110656.0,1.0
7,prune_50,22,8.00735092163086,13055328.0,2.0
7,prune_75,22,8.123841285705566,6527664.0,4.0
7,prune_90,22,8.04459285736084,2611065.5999999996,10.000000000000002
7,quant8,22,7.94066047668457,6527664.0,4.0
