dataset,run,step,optimizer,train_loss,val_loss
TransformerLM_LM1B_MultiRuntime_0,0,16,celo_fp32,8.847444534301758,8.89613151550293
TransformerLM_LM1B_MultiRuntime_0,0,16,celo_bf16,8.999723434448242,8.821704864501953
TransformerLM_LM1B_MultiRuntime_0,0,16,celo_fp16,8.928674697875977,8.845516204833984
TransformerLM_LM1B_MultiRuntime_0,0,16,celo_fp8_e4m3fn,8.878217697143555,9.024786949157715
TransformerLM_LM1B_MultiRuntime_0,0,16,celo_fp8_e5m2,8.96774959564209,8.948092460632324
TransformerLM_LM1B_MultiRuntime_0,0,16,celo_int8,8.585897445678711,8.853031158447266
TransformerLM_LM1B_MultiRuntime_0,0,16,celo_int4,9.571760177612305,9.346797943115234
TransformerLM_LM1B_MultiRuntime_0,0,17,celo_fp32,9.089278221130371,9.388833045959473
TransformerLM_LM1B_MultiRuntime_0,0,17,celo_bf16,9.243974685668945,9.3220796585083
TransformerLM_LM1B_MultiRuntime_0,0,17,celo_fp16,9.233175277709961,9.372221946716309
TransformerLM_LM1B_MultiRuntime_0,0,17,celo_fp8_e4m3fn,9.20256233215332,9.524421691894531
TransformerLM_LM1B_MultiRuntime_0,0,17,celo_fp8_e5m2,9.535091400146484,9.33220100402832
TransformerLM_LM1B_MultiRuntime_0,0,17,celo_int8,8.949068069458008,9.463018417358398
TransformerLM_LM1B_MultiRuntime_0,0,17,celo_int4,9.622222900390625,9.53714370727539
TransformerLM_LM1B_MultiRuntime_0,0,18,celo_fp32,9.259496688842773,9.189241409301758
TransformerLM_LM1B_MultiRuntime_0,0,18,celo_bf16,9.12206745147705,8.98885440826416
TransformerLM_LM1B_MultiRuntime_0,0,18,celo_fp16,9.42936897277832,9.149690628051758
TransformerLM_LM1B_MultiRuntime_0,0,18,celo_fp8_e4m3fn,9.15739631652832,9.223062515258789
TransformerLM_LM1B_MultiRuntime_0,0,18,celo_fp8_e5m2,9.17866325378418,9.197965621948242
TransformerLM_LM1B_MultiRuntime_0,0,18,celo_int8,9.26549243927002,8.955439567565918
TransformerLM_LM1B_MultiRuntime_0,0,18,celo_int4,9.608353614807129,9.46749496459961
TransformerLM_LM1B_MultiRuntime_0,0,19,celo_fp32,7.576726913452148,8.396459579467773
TransformerLM_LM1B_MultiRuntime_0,0,19,celo_bf16,7.678042411804199,8.319143295288086
TransformerLM_LM1B_MultiRuntime_0,0,19,celo_fp16,7.58139181137085,8.395662307739258
TransformerLM_LM1B_MultiRuntime_0,0,19,celo_fp8_e4m3fn,7.598684310913086,8.746358871459961
TransformerLM_LM1B_MultiRuntime_0,0,19,celo_fp8_e5m2,7.395791530609131,8.274662017822266
TransformerLM_LM1B_MultiRuntime_0,0,19,celo_int8,7.587491512298584,8.344099044799805
TransformerLM_LM1B_MultiRuntime_0,0,19,celo_int4,8.239402770996094,8.859661102294922
TransformerLM_LM1B_MultiRuntime_0,0,20,celo_fp32,8.299348831176758,8.812999725341797
TransformerLM_LM1B_MultiRuntime_0,0,20,celo_bf16,8.14098072052002,8.881782531738281
TransformerLM_LM1B_MultiRuntime_0,0,20,celo_fp16,8.178915023803711,8.896822929382324
TransformerLM_LM1B_MultiRuntime_0,0,20,celo_fp8_e4m3fn,8.226203918457031,9.130695343017578
TransformerLM_LM1B_MultiRuntime_0,0,20,celo_fp8_e5m2,8.325066566467285,8.947870254516602
TransformerLM_LM1B_MultiRuntime_0,0,20,celo_int8,8.156965255737305,8.792583465576172
TransformerLM_LM1B_MultiRuntime_0,0,20,celo_int4,8.82888412475586,9.532276153564453
TransformerLM_LM1B_MultiRuntime_0,0,21,celo_fp32,8.69577693939209,8.082515716552734
TransformerLM_LM1B_MultiRuntime_0,0,21,celo_bf16,8.798738479614258,8.154396057128906
TransformerLM_LM1B_MultiRuntime_0,0,21,celo_fp16,8.878213882446289,8.05290412902832
TransformerLM_LM1B_MultiRuntime_0,0,21,celo_fp8_e4m3fn,8.892967224121094,8.213958740234375
